Season,Seed,TeamID,TeamName,Region,Ranking,4*Seed-Ranking
2018,1,1437,Villanova,East,2,2
2018,2,1345,Purdue,East,5,3
2018,3,1403,Texas Tech,East,12,0
2018,4,1455,Wichita St,East,20,-4
2018,5,1452,West Virginia,East,13,7
2018,6,1196,Florida,East,23,1
2018,7,1116,Arkansas,East,36,-8
2018,8,1439,Virginia Tech,East,32,0
2018,9,1104,Alabama,East,51,-15
2018,10,1139,Butler,East,26,14
2018,11,1382,St Bonaventure,East,66,-22
2018,11,1417,UCLA,East,52,-8
2018,12,1293,Murray St,East,60,-12
2018,13,1267,Marshall,East,111,-59
2018,14,1372,SF Austin,East,114,-58
2018,15,1168,CS Fullerton,East,153,-93
2018,16,1254,Long Island,East,260,-196
2018,16,1347,Radford,East,167,-103
2018,1,1242,Kansas,Midwest,9,-5
2018,2,1181,Duke,Midwest,3,5
2018,3,1277,Michigan St,Midwest,6,6
2018,4,1120,Auburn,Midwest,16,0
2018,5,1155,Clemson,Midwest,19,1
2018,6,1395,TCU,Midwest,22,2
2018,7,1348,Rhode Island,Midwest,49,-21
2018,8,1371,Seton Hall,Midwest,27,5
2018,9,1301,NC State,Midwest,41,-5
2018,10,1328,Oklahoma,Midwest,48,-8
2018,11,1113,Arizona St,Midwest,47,-3
2018,11,1393,Syracuse,Midwest,55,-11
2018,12,1308,New Mexico St,Midwest,53,-5
2018,13,1158,Col Charleston,Midwest,120,-68
2018,14,1137,Bucknell,Midwest,101,-45
2018,15,1233,Iona,Midwest,135,-75
2018,16,1335,Penn,Midwest,128,-64
2018,1,1438,Virginia,South,1,3
2018,2,1153,Cincinnati,South,4,4
2018,3,1397,Tennessee,South,11,1
2018,4,1112,Arizona,South,21,-5
2018,5,1246,Kentucky,South,18,2
2018,6,1274,Miami FL,South,37,-13
2018,7,1305,Nevada,South,24,4
2018,8,1166,Creighton,South,28,4
2018,9,1243,Kansas St,South,44,-8
2018,10,1400,Texas,South,38,2
2018,11,1260,Loyola-Chicago,South,40,4
2018,12,1172,Davidson,South,42,6
2018,13,1138,Buffalo,South,73,-21
2018,14,1460,Wright St,South,134,-78
2018,15,1209,Georgia St,South,96,-36
2018,16,1420,UMBC,South,190,-126
2018,1,1462,Xavier,West,14,-10
2018,2,1314,North Carolina,West,8,0
2018,3,1276,Michigan,West,10,2
2018,4,1211,Gonzaga,West,7,9
2018,5,1326,Ohio St,West,15,5
2018,6,1222,Houston,West,17,7
2018,7,1401,Texas A&M,West,30,-2
2018,8,1281,Missouri,West,39,-7
2018,9,1199,Florida St,West,35,1
2018,10,1344,Providence,West,64,-24
2018,11,1361,San Diego St,West,50,-6
2018,12,1355,S Dakota St,West,75,-27
2018,13,1422,UNC Greensboro,West,82,-30
2018,14,1285,Montana,West,71,-15
2018,15,1252,Lipscomb,West,167,-107
2018,16,1300,NC Central,West,316,-252
2018,16,1411,TX Southern,West,241,-177
