Season,WTeamID,WTeamSeed,WScore,LTeamID,LTeamSeed,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,WEnd_MAS,WEnd_MOR,WEnd_POM,WEnd_SAG,LEnd_MAS,LEnd_MOR,LEnd_POM,LEnd_SAG
2003,1231,Y07,67,1104,Y10,62,N,0,19,49,7,18,22,26,13,22,15,8,1,2,17,22,52,5,12,13,16,9,20,13,8,2,6,21,46,34,46,41,41,26,33,37
2003,1242,Z02,78,1112,Z01,75,N,0,29,67,8,26,12,18,15,22,16,15,13,5,20,23,55,10,22,19,23,11,26,16,19,8,2,17,5,2,4,4,3,4,3,2
2003,1242,Z02,108,1113,Z10,76,N,0,40,59,5,9,23,34,12,28,21,13,6,6,20,28,69,4,15,16,23,17,14,11,11,7,5,21,5,2,4,4,40,22,32,32
2003,1393,W03,79,1120,W10,78,N,0,29,66,5,14,16,21,15,21,14,10,9,7,17,27,63,10,22,14,17,14,26,15,17,5,5,19,7,21,15,12,45,44,45,43
2003,1257,W04,86,1122,W13,64,N,0,35,70,8,24,8,13,15,29,18,12,12,4,22,24,54,2,21,14,22,8,21,11,18,5,3,18,14,14,14,6,72,151,123,103
2003,1328,W01,65,1139,W12,54,N,0,27,55,4,10,7,12,19,20,15,13,6,1,18,19,43,4,13,12,17,7,14,10,13,7,2,18,4,6,9,8,26,74,51,35
2003,1163,X05,58,1140,X12,53,N,0,17,52,4,14,20,27,12,29,8,14,3,8,16,20,64,2,17,11,13,15,26,11,11,8,4,22,24,17,23,23,31,42,26,28
2003,1181,Z03,86,1141,Z11,60,N,0,32,52,10,15,12,16,4,23,14,11,15,9,18,21,57,8,17,10,14,14,19,8,21,4,2,14,10,10,8,10,36,50,50,48
2003,1328,W01,74,1143,W08,65,N,0,26,51,7,13,15,24,13,23,16,12,2,2,15,27,52,5,16,6,12,6,18,6,9,5,4,23,4,6,9,8,30,43,40,40
2003,1211,Z09,74,1153,Z08,69,N,0,20,47,6,14,28,37,8,28,12,12,2,2,15,26,66,10,27,7,10,13,22,13,10,7,6,24,49,54,41,39,54,39,35,42
2003,1277,X07,79,1160,X10,64,N,0,26,56,7,13,20,25,10,28,16,11,5,1,18,26,60,5,14,7,17,12,23,9,13,6,8,19,37,16,25,36,32,30,28,33
2003,1181,Z03,67,1161,Z14,57,N,0,19,54,4,13,25,31,13,27,4,16,10,8,23,18,54,3,11,18,22,11,24,8,19,5,4,19,10,10,8,10,84,85,87,89
2003,1400,X01,82,1163,X05,78,N,0,24,69,5,18,29,36,21,31,13,10,5,5,21,30,71,4,13,14,25,14,27,13,11,7,8,21,6,12,7,5,24,17,23,23
2003,1141,Z11,79,1166,Z06,73,N,0,29,53,3,7,18,25,11,20,15,18,13,1,19,27,60,7,17,12,17,14,17,20,21,6,6,21,36,50,50,48,19,33,27,18
2003,1409,Y13,84,1173,Y04,71,N,0,33,57,8,12,10,13,8,26,18,12,6,1,11,28,66,9,28,6,9,12,16,11,11,3,3,19,66,35,53,58,17,32,31,26
2003,1242,Z02,69,1181,Z03,65,N,0,29,67,1,12,10,17,18,29,14,17,4,5,16,25,65,10,26,5,8,11,22,11,14,6,7,18,5,2,4,4,10,10,8,10
