id,pred
2014_1107_1107,0.5
2014_1107_1110,0.957372046
2014_1107_1112,0.867554795
2014_1107_1113,0.997846182
2014_1107_1124,0.978900358
2014_1107_1140,0.191576851
2014_1107_1142,0.649712508
2014_1107_1153,0.301108291
2014_1107_1157,0.632630306
2014_1107_1160,8.05E-02
2014_1107_1163,0.70692189
2014_1107_1166,0.216939264
2014_1107_1173,0.353039302
2014_1107_1174,0.68869532
2014_1107_1181,0.529955477
2014_1107_1184,0.331606075
2014_1107_1196,0.271799669
2014_1107_1203,0.16070541
2014_1107_1211,0.889347886
2014_1107_1217,0.486143237
2014_1107_1234,0.47205891
2014_1107_1235,0.898158506
2014_1107_1242,0.998121888
2014_1107_1243,0.832478148
2014_1107_1246,0.746045037
2014_1107_1257,0.334229516
2014_1107_1264,0.231396097
2014_1107_1269,0.690251358
2014_1107_1272,0.834458264
2014_1107_1273,0.768450703
2014_1107_1276,0.444720561
2014_1107_1277,0.374088857
2014_1107_1291,3.72E-02
2014_1107_1295,0.100411196
2014_1107_1300,0.496105929
2014_1107_1301,0.133571679
2014_1107_1304,0.118458439
2014_1107_1307,0.608507448
2014_1107_1308,9.02E-02
2014_1107_1314,0.850676218
2014_1107_1326,0.590901164
2014_1107_1328,0.342324969
2014_1107_1329,0.228503285
2014_1107_1332,0.670717101
2014_1107_1338,0.862741897
2014_1107_1344,0.308435301
2014_1107_1361,0.472497577
2014_1107_1372,0.65523273
2014_1107_1386,8.53E-02
2014_1107_1387,0.230475429
2014_1107_1390,8.58E-02
2014_1107_1393,0.417188907
2014_1107_1397,0.73197809
2014_1107_1400,0.891597095
2014_1107_1409,0.568356706
2014_1107_1411,0.571048716
2014_1107_1417,0.787727595
2014_1107_1418,0.780275359
2014_1107_1433,0.841440021
2014_1107_1437,0.173750154
2014_1107_1438,0.5826278
2014_1107_1444,0.394317886
2014_1107_1451,6.42E-03
2014_1107_1454,0.202898897
2014_1107_1455,3.56E-02
2014_1107_1458,0.434853873
2014_1107_1459,0.472048391
2014_1107_1462,0.146270548
2014_1110_1107,0.169932764
2014_1110_1110,0.5
2014_1110_1112,0.846089259
2014_1110_1113,0.200438467
2014_1110_1124,0.735161859
2014_1110_1140,0.105263062
2014_1110_1142,0.236342388
2014_1110_1153,0.66228137
2014_1110_1157,0.559990142
2014_1110_1160,0.747975797
2014_1110_1163,0.602252918
2014_1110_1166,0.439109313
2014_1110_1173,0.516157334
2014_1110_1174,0.632154155
2014_1110_1181,0.762260235
2014_1110_1184,8.98E-02
2014_1110_1196,0.825636855
2014_1110_1203,0.144302413
2014_1110_1211,2.62E-02
2014_1110_1217,0.787919436
2014_1110_1234,1.94E-02
2014_1110_1235,0.140688902
2014_1110_1242,0.375169428
2014_1110_1243,0.251771069
2014_1110_1246,9.67E-02
2014_1110_1257,0.814714957
2014_1110_1264,0.358208679
2014_1110_1269,0.356707581
2014_1110_1272,0.903542654
2014_1110_1273,0.483793132
2014_1110_1276,0.433719602
2014_1110_1277,4.33E-02
2014_1110_1291,0.356516464
2014_1110_1295,0.945565241
2014_1110_1300,0.573960049
2014_1110_1301,0.772496556
2014_1110_1304,0.387146117
2014_1110_1307,0.130041905
2014_1110_1308,0.107113146
2014_1110_1314,0.600246639
2014_1110_1326,0.226637969
2014_1110_1328,0.772989704
2014_1110_1329,0.237213987
2014_1110_1332,0.125072046
2014_1110_1338,0.369910285
2014_1110_1344,0.899522698
2014_1110_1361,0.288297388
2014_1110_1372,0.182148171
2014_1110_1386,0.444864624
2014_1110_1387,0.317713179
2014_1110_1390,0.19697214
2014_1110_1393,0.715413705
2014_1110_1397,0.383881723
2014_1110_1400,0.952391112
2014_1110_1409,0.603700889
2014_1110_1411,0.900023513
2014_1110_1417,0.281241996
2014_1110_1418,6.70E-03
2014_1110_1433,0.476596481
2014_1110_1437,6.72E-03
2014_1110_1438,0.977541857
2014_1110_1444,3.04E-03
2014_1110_1451,0.472747219
2014_1110_1454,0.811392902
2014_1110_1455,0.782207555
2014_1110_1458,0.704101639
2014_1110_1459,0.761247602
2014_1110_1462,0.344580042
2014_1112_1107,0.945357747
2014_1112_1110,0.22569243
2014_1112_1112,0.5
2014_1112_1113,0.352449127
2014_1112_1124,0.564702894
2014_1112_1140,0.34606739
2014_1112_1142,0.841559701
