Season,TeamID,Seed,OrdinalRank,PIE,FG_PCT,TURNOVER_RATE,OFF_REB_PCT,FT_RATE,4FACTOR,OFF_EFF,DEF_EFF,ASSIST_RATIO,DEF_REB_PCT,FT_PCT,WINPCT
2003,1328,1,3,0.6049651520223656,0.5121235704809559,0.15507831635187272,0.3472843435104194,0.3320303232768793,0.3628804244739664,1.1417736032237975,0.9705625488906828,0.1536058179930134,0.7098535265941734,0.7143507335830064,0.8
2003,1448,2,7,0.6373975588340882,0.5119722141045613,0.17894074552550315,0.42972409989662175,0.4724993604923229,0.4063437960763731,1.1818549616073275,1.021376063989132,0.1476789160096799,0.6872369999788552,0.7553304296460007,0.8275862068965517
2003,1393,3,9,0.6041621035868737,0.5151514400578245,0.16040806845536237,0.38524237718025756,0.39387297617648886,0.38229201499949517,1.1592253813865563,1.0151279875239574,0.14605902770164744,0.6307900177453044,0.6878244393904429,0.8275862068965517
2003,1257,4,11,0.6330578996807957,0.5288606008098634,0.15650500343715396,0.35605343604852047,0.4189219629072524,0.38471947282902585,1.183940340125818,0.9883037821204024,0.16223908541870016,0.6640372579429616,0.690997003869643,0.8
2003,1280,5,24,0.6430009549869973,0.5213587038487204,0.19746725042960586,0.3834455412825126,0.3238596184789946,0.3831783451752414,1.0996483506406451,0.948850069286408,0.15403313612328767,0.6957854386105158,0.6669405708739969,0.7
2003,1329,6,22,0.5924264584502386,0.48769131926006354,0.18234473305065504,0.3584923226054055,0.41029136316144027,0.3739048799619863,1.0577027708569207,0.9605793909190014,0.1304754438997262,0.6331455747102979,0.6498469160397397,0.6896551724137931
2003,1386,7,27,0.6607228346745628,0.5208277543443889,0.16961116149626462,0.3338182152688147,0.39349597079342125,0.37652193078459784,1.126721898679358,0.9425091533833554,0.15327284960862153,0.6476269800973667,0.6735499000071787,0.7931034482758621
2003,1143,8,33,0.5561301005978896,0.5240976104061414,0.1736599110613875,0.3223099383394306,0.3483106986957382,0.36976261440005026,1.1067374476842797,1.0373438750585853,0.16240148095114232,0.6920860000740043,0.6886317367958215,0.7241379310344828
2003,1301,9,53,0.5419451918912837,0.5341893099448476,0.18583382141060417,0.30881329998858464,0.3874957179115481,0.3800211970150392,1.1300491059541962,1.0626006189210795,0.15869981833037067,0.6816605925011272,0.7781475873041654,0.6
2003,1120,10,36,0.586441607378773,0.5210959598918373,0.20094493651998552,0.36990688917080317,0.3665990265447203,0.38764584990260004,1.0792054647369835,1.0158333534057187,0.14182114388846395,0.6476262478294686,0.6526626912188533,0.6333333333333333
2003,1335,11,59,0.6247869242378187,0.5567159247586541,0.17899564249263894,0.30282456501253635,0.36937198726792253,0.383405991619317,1.1486909300659094,0.9724011048791289,0.16844342982928198,0.7248722961015583,0.6866971300238798,0.8148148148148148
2003,1139,12,35,0.59217112798607,0.5621366226538963,0.15076306096129125,0.2775708052959589,0.33291007718111787,0.3679960869382409,1.1928421107723435,1.0510702206283198,0.15903090138543619,0.6637239129910459,0.7152246250659386,0.8275862068965517
2003,1122,13,73,0.5399921358821207,0.5137207777156629,0.1954974510650997,0.3221487479607432,0.478486088516065,0.3905653367220985,1.081012058983306,1.0463133764038675,0.14601374061683314,0.6759337966581294,0.6822954980603473,0.7407407407407407
2003,1264,14,55,0.5903045262944424,0.5008904374441481,0.17196540930893925,0.3328188834919562,0.42602138820872115,0.37381451223459344,1.1223575508860502,0.9926086617719605,0.14370098140641085,0.6580501135656145,0.7884381088282691,0.7931034482758621
2003,1190,15,125,0.5325455060135704,0.5014143850931077,0.20629003988025696,0.3897255091920477,0.41850796316470695,0.39285956032042285,1.0799434900245977,1.0487848121802552,0.1320961060919226,0.6376637125448619,0.7284690312984357,0.6296296296296297
