,Season,WTeamID,WScore,LTeamID,LScore,NumTeamWon,Loc,FGMR,FGAR,FGMR3,FGAR3,FTMR,FTAR,ORR,DRR,AstR,TOR,StlR,BlkR,PFR
0,2003.0,1421.0,92.0,1411.0,84.0,0.0,0.0,0.906,0.971,1.091,1.069,0.824,1.192,1.214,0.933,0.941,1.25,1.0,0.333,1.0
1,2003.0,1112.0,80.0,1436.0,51.0,0.0,0.0,0.645,0.97,0.571,0.696,0.636,0.5,0.727,0.722,0.545,1.062,1.0,0.429,1.875
2,2003.0,1113.0,84.0,1272.0,71.0,0.0,0.0,0.806,1.169,1.167,2.0,0.875,0.955,2.0,0.815,0.611,1.333,0.286,1.25,0.947
3,2003.0,1141.0,79.0,1166.0,73.0,0.0,0.0,0.931,1.132,2.333,2.429,0.667,0.68,1.273,0.85,1.333,1.167,0.462,6.0,1.105
4,2003.0,1143.0,76.0,1301.0,74.0,0.0,0.0,0.926,0.875,1.286,1.05,1.0,0.87,0.556,1.3,0.941,1.077,0.625,4.0,1.357
5,2003.0,1163.0,58.0,1140.0,53.0,1.0,0.0,0.85,0.812,2.0,0.824,1.818,2.077,0.8,1.115,0.727,1.273,0.375,2.0,0.727
6,2003.0,1181.0,67.0,1161.0,57.0,0.0,0.0,0.947,1.0,0.75,0.846,0.72,0.71,0.846,0.889,2.0,1.188,0.5,0.5,0.826
7,2003.0,1211.0,74.0,1153.0,69.0,0.0,0.0,1.3,1.404,1.667,1.929,0.25,0.27,1.625,0.786,1.083,0.833,3.5,3.0,1.6
8,2003.0,1228.0,65.0,1443.0,60.0,1.0,0.0,1.091,0.966,0.625,0.583,1.5,1.077,0.882,1.278,1.5,1.0,1.833,0.8,0.875
9,2003.0,1242.0,64.0,1429.0,61.0,1.0,0.0,1.217,0.911,0.333,0.353,0.667,1.1,0.538,1.053,1.0,0.846,1.333,4.0,1.133
10,2003.0,1266.0,72.0,1221.0,68.0,1.0,0.0,0.917,0.944,1.8,1.067,1.267,0.92,0.786,1.0,1.0,1.111,1.0,3.0,1.15
11,2003.0,1281.0,72.0,1356.0,71.0,0.0,0.0,0.929,1.25,1.6,1.462,1.0,1.167,1.222,0.562,2.714,0.565,1.5,0.167,1.0
12,2003.0,1323.0,70.0,1454.0,69.0,0.0,0.0,1.0,1.222,2.667,1.769,0.714,0.8,1.273,0.697,2.143,0.6,1.833,0.5,1.316
13,2003.0,1328.0,71.0,1354.0,54.0,1.0,0.0,1.143,1.0,1.667,0.9,2.167,3.0,1.571,1.091,2.0,0.778,1.143,1.5,0.522
14,2003.0,1390.0,77.0,1360.0,69.0,0.0,0.0,0.69,0.953,0.5,0.75,2.273,2.133,1.417,0.862,0.438,0.786,0.75,0.125,0.75
15,2003.0,1409.0,84.0,1173.0,71.0,0.0,0.0,0.848,1.158,1.125,2.333,0.6,0.692,1.5,0.615,0.611,0.917,0.5,3.0,1.727
16,2003.0,1458.0,81.0,1451.0,74.0,1.0,0.0,1.069,0.817,0.857,0.667,1.444,1.467,0.455,1.143,1.778,0.9,1.75,2.0,0.8
17,2003.0,1120.0,65.0,1386.0,63.0,1.0,0.0,1.136,0.966,1.167,0.75,0.615,0.812,0.933,1.143,1.0,1.25,0.5,1.25,0.842
