Season,TeamID,FGMR,FGAR,FGMR3,FGAR3,FTMR,FTAR,ORR,DRR,AstR,TOR,StlR,BlkR,PFR
2011,1155,1.1439312277,1.0228099694,1.4459362486,1.1755960941,1.4335385037,1.3666042128,1.1589513926,1.1431099324,1.22250642,0.9011582222,1.4342664382,2.7426900531,1.0108090738
2011,1421,1.1285308483,1.0226460935,1.0796159988,0.9708126525,1.2306336382,1.1486171099,0.9308014411,1.014962885,1.2237529115,0.9229811784,1.3723663919,1.5895649935,1.0076528864
2011,1427,0.9909758974,0.9730843526,1.4575177897,0.979703535,1.3432263448,1.2490893185,1.0193503456,1.0165059617,1.0875541702,1.0634423655,1.2813821483,1.2018685361,0.9707059403
2011,1433,1.0118643109,1.0431935684,1.8530265521,1.60781452,1.5132167527,1.3803949716,0.9863645258,0.932510727,1.1563769047,0.8453164394,1.9164002797,1.4541020068,1.0200321642
2011,1139,1.1365306643,1.0710342296,1.5010831214,1.2148247093,1.4135238216,1.1479592056,1.3121398301,1.0934682217,1.4527697172,0.9700340353,1.3478269504,0.91336108,1.0319874495
2011,1140,1.1683643846,1.0495565591,1.7341305621,1.3605859379,1.8369346427,1.4177197426,1.2112360665,1.1200792897,1.3256747477,0.8264114971,1.6187499109,1.7963964109,0.9117873758
2011,1153,1.2034953747,1.1011302544,1.9874628342,1.3773076838,1.4790261778,1.4491560674,1.4702327193,1.1214038929,1.4047761895,0.8756209798,1.5108287986,2.1328560763,1.0211635268
2011,1163,1.0914500806,1.0003052888,1.1078410576,1.0251032376,1.7391297884,1.4853623707,1.159183127,1.1981102975,1.1597384351,1.0131003253,1.2283591003,2.1580721756,0.8769224797
2011,1196,1.1291362651,1.0155282392,1.3719520349,1.0863274776,1.8105478175,1.5111233516,1.4143277101,1.1938073103,1.305587804,1.1182826434,1.3121300393,1.5126965235,0.8111979044
2011,1211,1.2440730445,1.0097515228,0.9168198351,0.8474549234,1.9002949881,1.387598956,1.415562367,1.2908104944,1.643792348,0.9981429291,1.3728884151,1.7960565439,0.9367405611
2011,1243,1.1462916348,1.1027653275,1.7116761378,1.4221540666,1.1495767907,1.1180919182,1.6896728194,1.1877396091,1.9455671343,1.0269507096,1.2638701077,1.6504985542,0.9556578814
2011,1246,1.202740723,1.0099672821,1.7633832466,1.186443743,1.5757094041,1.3679411075,1.1739253715,1.2370263388,1.2392181687,0.9075026714,1.3802209241,2.5790418264,0.8911020191
2011,1287,1.1694085971,1.0771743166,0.9834614354,1.0329326549,1.3841054271,1.319228562,1.6722285361,1.2544440931,1.0100131629,1.095677588,1.4885970304,1.6912596835,1.0571165149
2011,1338,1.2240002627,1.0280148176,1.3515867046,0.95800443,1.7055787033,1.6153789633,1.9286127167,1.3866704654,1.6294533566,1.2235945181,1.4112583377,1.1601272054,0.9146413062
2011,1350,1.1503150653,0.9712192997,2.1898107823,1.2748332024,1.394981702,1.3140479906,0.8286381511,1.0702724826,1.4733293463,0.9032839141,1.8116594555,2.1554110056,0.9220782859
2011,1361,1.2347174963,1.0605679084,1.677137938,1.1416987722,1.4724832631,1.4322796769,1.3762323361,1.2079903383,1.3654324072,0.9468814078,1.649587861,2.787137543,0.9259218496
2011,1396,1.1386630901,1.0328585699,1.4323031336,1.1812442589,1.8665069793,1.5290953961,1.2200286572,1.1220661084,1.4380562374,0.8588030374,1.58008676,1.7924383516,0.9427181848
2011,1417,1.0467351593,0.9437107492,1.4232340116,1.2363071972,1.5591081965,1.511474556,1.1869115148,1.2561031504,1.460035268,1.3236821483,1.0300963146,3.1155556766,0.9483555843
2011,1452,1.062483044,1.0146972251,1.9410968021,1.2842475741,1.4730229691,1.4092557789,1.2787947828,1.1262385449,1.5551177509,1.0573620283,0.9208601206,2.1397710361,0.8776626946
2011,1458,1.1846256958,1.116987302,2.1252246641,1.7552430283,1.344858817,1.21541608,1.7802494329,1.1459029632,1.7445768248,0.795479038,1.1970739553,2.0225974477,1.0028922297
2011,1112,1.0695280582,0.9808660561,2.5686692411,1.4027379534,1.5770649891,1.3397531023,1.2611553516,1.2520305532,1.1840281542,1.0876740456,0.9792152,1.541713092,0.9654101454
2011,1181,1.2057356607,1.006924285,2.2512676179,1.6848877646,1.7422697259,1.4313105013,1.037351706,1.1805969387,1.3837831919,0.876862908,1.7143662517,2.0354273662,0.9152828618
2011,1199,1.2080623219,1.0156650454,1.1629120537,0.9512634042,1.257495496,1.2428731004,1.3117114362,1.2327340015,1.2410763657,1.1162600897,1.3750434274,2.5055988484,1.0162294449
2011,1206,1.2025878868,1.0141173698,1.5309011806,0.9848911831,1.5171344923,1.3835197826,1.0168863613,1.1688649971,1.3973318081,0.9138181105,1.6966106074,1.5381263989,0.8939723514
2011,1228,1.187954006,1.005628195,1.3596277943,0.9835156881,0.9682780263,0.9537062395,0.9986006571,1.221300173,1.4584260119,1.3263228369,1.2252920912,2.3735882485,1.1042027096
2011,1242,1.3402511353,1.012974423,1.9310146475,1.0689162132,1.5138455385,1.5918115293,1.329206787,1.4145851101,1.9085982847,1.0438613308,1.792379057,1.9169969749,0.921928862
2011,1266,1.081083341,0.9908258531,0.8348607309,0.7929166637,2.0304876995,1.7791237356,1.170561315,1.1572892703,1.0948853491,0.9126026763,1.5666106583,1.37520011,0.8276164643
2011,1276,1.0722567193,1.011223088,1.4720301772,1.3224291496,1.3117657098,1.21638967,0.8524621944,1.0202691603,1.2372404855,0.9572321984,1.3429664006,0.9189342873,1.078903761
2011,1314,1.132299018,0.9994707916,1.0878932055,0.7910207723,1.7684047611,1.6651739142,1.2890528142,1.2129662548,1.2818915681,1.0027810634,0.9385351457,2.4109284325,0.8253369407
2011,1323,1.0747145272,0.9201456102,1.3849243442,1.1171861978,2.1940051449,2.0159140494,1.1070651613,1.2554030448,1.3245206129,1.1978243571,0.9952316207,1.6714461666,0.7674664991
2011,1326,1.2392775798,1.0477105342,1.5616825396,1.1243660199,2.8184201236,2.4232975562,1.3767401056,1.1775183795,1.46937274,0.7342320411,2.4019643679,1.5513826789,0.767143698
2011,1345,1.1869122975,1.0667879839,2.4871600726,1.4582314239,1.3587255703,1.3174193752,1.1557475455,1.0720275269,1.4000689497,0.7592052742,1.6248662688,1.8462894181,1.0021233414
2011,1393,1.2606443286,1.0096012727,1.4194381089,0.8949434888,1.5571842341,1.4264152696,1.0554011099,1.3039456756,1.2895589677,0.9335595021,1.7334288057,3.6100847202,0.9299657496
2011,1400,1.2250457277,1.01526084,1.8439693817,1.0949364589,1.5656920299,1.57210765,1.42802808,1.260202207,1.8800735094,0.9571766398,1.2326383934,2.3037189091,0.8372660077
2011,1449,1.2926733882,1.1248910102,2.3264708972,1.6708645744,0.9255677291,0.9002410581,1.3149595616,1.1368564242,1.7793823992,0.9009518874,1.667559107,2.6779770406,1.0883176698
2011,1412,1.1269194697,1.0393477087,1.8096121517,1.4618418111,1.2018208222,1.0785991559,1.2926819344,1.1240784766,1.4386692669,1.1002454365,1.0672241668,1.2768370174,1.0162437709
2011,1114,1.0211499685,1.0538780197,1.7568541435,1.0074763495,1.2410768443,1.1924998749,1.1127922362,0.9308815118,1.0219248831,0.9146864207,1.9307025837,0.9528574262,1.0677758899
2011,1106,1.0556060085,1.0652130275,1.1033252309,1.1823939009,0.8637241173,0.9473075961,1.2658290195,1.01382184,1.2006333204,1.0982396165,1.1723909395,2.2340405015,1.1327009642
2011,1425,1.1348325099,1.0363527319,1.5661342429,1.1531046976,1.035076471,1.1202638987,1.2999726963,1.0442201632,1.3781924968,0.9963090653,1.5557168999,1.5907035261,1.034940557
2011,1330,1.1641080006,1.0455625473,0.783464833,0.8378884965,2.3424995778,2.2089880652,2.2543478224,1.4225467517,1.2122986441,1.1759100437,1.3788105833,2.2259061479,0.8313166024
2011,1459,1.1581210378,1.0523435203,1.407386002,1.0587791743,1.0881254604,1.1469678289,1.506857493,1.096359559,1.4774135743,0.9175101258,1.735930439,1.3772083171,0.982022921
2011,1281,1.2146195862,1.1172153409,1.4624147159,1.307287391,1.2662962075,1.117266212,1.0581163894,0.9439429319,1.3740728638,0.7249745025,2.0426763095,2.9490746014,1.1361019696
2011,1137,1.1810818103,0.9958574297,1.3890457937,0.9128214285,1.2694921977,1.1086186988,0.8681227451,1.1545816823,1.3362754756,0.9942958377,1.2612768028,1.6638281976,1.0993542639
2011,1364,1.0900427554,0.986306258,1.3747158754,1.1160880289,1.0032284996,0.9048694982,1.0327346745,1.1255050872,1.2509495794,1.1589072656,1.448386195,2.4948984751,1.1816321664
2011,1385,1.1396694295,1.0592621753,0.6784859555,0.6669042695,1.3916555538,1.3748040687,1.1377917228,1.0839828692,0.9635376677,0.8213839293,1.7080539018,1.1410333616,0.9426300271
